"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement","E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez","Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Apr 2026","2025","","","1","6","The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504","AI;virtual coach;strength training;biomechanics;haptic feedback;python","Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks","","","","27","IEEE","9 Apr 2026","3-6 July 2025","3-6 July 2025","IEEE","IEEE Conferences"
"A Reasoning System for Graded Modal Logic","R. López-Villafán; E. Bárcenas","IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),"18 Dec 2024","2024","","","228","236","In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.","","979-8-3315-3211-6","10.1109/CONISOFT63288.2024.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561","graded modalities;proof theory;hypersequents;automated reasoning","Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification","","","","21","IEEE","18 Dec 2024","28 Oct.-1 Nov. 2024","28 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"Democratizing Air Quality Monitoring: The Role of Low-Cost PM2.5 Sensors in Community Decision- Making","A. Castro-Chacon; A. Castro-Carranza; M. Grutter; R. Torres-Jardón","Postgraduate Progam in Earth Sciences, ENES Morelia, National Autonomous University of Mexico, Morelia, Mexico; International Laboratory of Environmental Electron Devices (LAIDEA) ENES Morelia, National Autonomous University of Mexico, Morelia, Mexico; Institute of Atmospheric Sciences and Climate Change (ICAyCC), National Autonomous University of Mexico, Mexico City; Institute of Atmospheric Sciences and Climate Change (ICAyCC), National Autonomous University of Mexico, Mexico City",2025 IEEE Latin American Electron Devices Conference (LAEDC),"21 Dec 2025","2025","","","1","6","Low-cost PM2.5 sensors have appeared as valuable tools for expanding access to air quality information in underserved regions. This paper explores the operational principles of sensors like the Plantower PMS5003, focusing on data acquisition, processing, and communication strategies. Beyond technical aspects, we discuss their integration into community-based monitoring and how these microelectronic systems support environmental governance and strengthen local responses to air pollution. Finally, this work highlights low-cost air quality sensors as humanitarian technologies that can help connect scientific knowledge, societal empowerment, and policy development, particularly in the Latin American context.","2835-3471","979-8-3315-1524-9","10.1109/LAEDC65721.2025.11288997","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11288997","Low-cost sensors;PM  2.5 ;air quality monitoring;humanitarian technologies","Data acquisition;Focusing;Air pollution;Sensors;Systems support;Microelectronics;Electron devices;Monitoring","","","","22","IEEE","21 Dec 2025","8-10 Oct. 2025","8-10 Oct. 2025","IEEE","IEEE Conferences"
"Grid-Forming and BESS: Review of Advances and Challenges","J. Galvez-García; V. Torres-García; J. R. Rodríguez; H. F. Ruíz-Paredes","TecNM/Instituto Tecnológico de Morelia; TecNM/Instituto Tecnológico de Morelia; Universidad Nacional Autónoma de México, UNAM; TecNM/Instituto Tecnológico de Morelia","2025 IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)","3 Feb 2026","2025","9","","1","8","The massive integration of renewable energies has drastically reduced mechanical inertia in power systems, compromising frequency stability. In response to this challenge, Grid-Forming Inverters (GFM) and Battery Energy Storage Systems (BESS) emerge as key technologies: the former emulate the inertial response of synchronous generators, while the latter provide fast active power adjustments to maintain frequency at nominal values. In this context, this work presents a review of these technologies, focusing on control strategies for GFM and BESS, with an emphasis on active power injection schemes and primary frequency regulation. Proposed approaches in the literature are reviewed to address operational challenges, such as the dynamic coordination between both technologies and harmonic suppression in weak grids. Furthermore, relevant technological gaps are discussed in areas such as standardization, fault resilience, and cybersecurity, among others, identifying key opportunities for future research. Through a comparative analysis of recent studies, this work synthesizes lessons learned and highlights the main opportunities for the effective integration of GFM and BESS in grids with high renewable penetration.","2573-0770","979-8-3315-7673-8","10.1109/ROPEC68163.2025.11353974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11353974","Inverter Grid-Forming;BESS;RoCoF","Renewable energy sources;Harmonics suppression;Reviews;Power system dynamics;Standardization;Power system stability;Synchronous generators;Stability analysis;Grid forming;Resilience","","","","0","IEEE","3 Feb 2026","12-14 Nov. 2025","12-14 Nov. 2025","IEEE","IEEE Conferences"
"Cloud Computing Integration for Leak Diagnosis Using Meta-Heuristic Methods for Water Distribution Networks","L. A. Sánchez-Mejía; L. Gómez-Coronel; J. Blesa; L. Torres; I. Santos-Ruiz","TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico; Institut de Robòtica i Informàtica Industrial (IRI). UPCCSIC. Llorens i Artigas, Barcelona, Spain; Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; TURIX-Dynamics Diagnosis and Control Group, Tecnológico Nacional de México, I.T. Tuxtla Gutiérrez, Tuxtla Gutiérrez, Chiapas, Mexico",2025 6th International Conference on Control and Fault-Tolerant Systems (SysTol),"3 Dec 2025","2025","","","265","270","We present the implementation of a Cloud-Computing-based system for leak diagnosis in a water distribution network. Pressure head/flow rate measured in field is stored and processed in a virtual machine to provide a leak diagnosis in two stages: 1) first the leak is detected by comparing the current operating conditions and expected nominal operating conditions obtained from a previously adjusted simulation model, and 2) the leak exact location and its magnitude are determined using a meta-heuristic method. The performance of the proposed system is implemented for an experimental hydraulic system at a laboratory scale. Results demonstrate a good accuracy in the leak diagnosis metrics at a reduced economic and computational cost, demonstrating the potential results from the implementation of a similar system in a large-scale water distribution network.","2162-1209","978-1-6654-5771-2","10.1109/SysTol66549.2025.11267338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267338","","Location awareness;Cloud computing;Costs;Accuracy;Metaheuristics;Distribution networks;Simulated annealing;Virtual machines;Pressure measurement;Resilience","","","","21","IEEE","3 Dec 2025","6-8 Oct. 2025","6-8 Oct. 2025","IEEE","IEEE Conferences"
"AMIND: An Asynchronous Middleware for Improving Neighborhood Discovery in Crowded Networks","J. J. Camacho-Escoto; F. García; O. Arana-Hernández; J. Gomez","Department of Computing, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico; Department of Telecommunications, National Autonomous University of Mexico, Mexico City, Mexico",IEEE Access,"4 Oct 2024","2024","12","","140329","140338","Neighbor discovery (ND) is crucial in deploying wireless sensor networks. Despite the considerable research on ND, most studies focus on networks composed of only two nodes. However, for cases in which more than two nodes are involved, the probability of collision increases, potentially preventing a node from discovering all its neighbors. This problem is especially aggravated for ND protocols that exhibit periodic behaviors that can lead to recurring collisions. This behavior is typical of deterministic ND protocols, in which its inherent operation forces regular on/off patterns and cyclical collisions. To address this problem, this paper introduces AMIND, a new middleware capable of disrupting the cyclic behavior of deterministic ND protocols. It achieves this goal by introducing random shifts in their operation, significantly increasing the number of nodes discovered compared to the existing ND protocols. As a result, AMIND allows a node to discover unknown neighbors after each shift. Simulation results show that the proposed middleware enhances node discoveries that previous ND protocols can achieve, even in scenarios with high collision rates.","2169-3536","","10.1109/ACCESS.2024.3466928","Consejo Nacional de Humanidades, Ciencias y Tecnologías with the Grant Program “Ciencia de Frontera 2023”(grant numbers:CF-2023-I-2676); Universidad Nacional Autónoma de México (UNAM)-Programa de Apoyo a Proyectos de Investigación. e Inovación Tecnológica (PAPIIT)(grant numbers:IA102822,IN109624); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10690259","Neighbor discovery;neighborhood;middleware;collisions","Protocols;Middleware;Proposals;Schedules;Urban areas;Synchronization;Energy efficiency;Wireless sensor networks;Nearest neighbor methods","","1","","36","CCBYNCND","24 Sep 2024","2024","","IEEE","IEEE Journals"
"Self-Tuning Model for Energy-Context Optimization in Perpetual Sensor Nodes Within IoT-Integrated Hydroponic Systems","A. Hernández-Benítez; J. Vázquez-Castillo; J. J. Estrada-López; G. Becerra-Nunez; N. Cólin-García; A. Castillo-Atoche","Faculty of Engineering, Autonomous University of Yucatan, Mérida, Mexico; Engineering Department, Autonomous University of Quintana Roo, Chetumal, Mexico; Faculty of Mathematics, Autonomous University of Yucatan, Mérida, Mexico; Engineering Department, Autonomous University of Quintana Roo, Chetumal, Mexico; Molecular and Cell Biology Lab, National School of Higher Studies, National Autonomous University of Mexico, Mexico City, Mexico; Faculty of Engineering, Autonomous University of Yucatan, Mérida, Mexico",IEEE Embedded Systems Letters,"28 Aug 2024","2024","16","3","267","270","Hydroponic farming is a promising alternative to soil-based farming. However, it requires a precise control of the growth environment, which is hard to achieve with energy-constrained embedded systems. This letter presents an energy optimization technique for the continuous operation of energy harvesting-based hydroponics sensor nodes. The proposed technique is based on the self-tuning model, that dynamically adjust the duty cycle of the node, ensuring the autonomous operation of the Internet of Things system. The model can be programmed in a low-power microcontroller, allowing the decision-making process to reside entirely on the sensor node. Experimental results show that in the same time period, the self-tuning model allows  $3.5\times $  more data transmissions than a uniform 5-min duty cycle, while ensuring a minimum voltage level in the storage device. This balance allows the stored energy to be enough for continuous monitoring, providing a clean and cost-effective alternative to perpetually power the hydroponic system.","1943-0671","","10.1109/LES.2024.3387310","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496466","Embedded sensor networks;hydroponics;low-power design;self-tuning model;wireless sensor nodes","Hydroponics;Optimization;Voltage measurement;Supercapacitors;Temperature measurement;Sensors;Energy harvesting","","4","","13","IEEE","10 Apr 2024","Sept. 2024","","IEEE","IEEE Journals"
"Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review","A. E. Godínez; J. L. Garza Rivera; D. T. Varela","CDMX, Universidad Da Vinci, México; CDMX, Universidad Da Vinci, México; Facultad de Estudios Superiores Cuautitlán, Universidad Nacional Autónoma de México, Cuautitlan Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),"22 Jan 2026","2025","","","94","102","Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security.","","979-8-3315-8719-2","10.1109/SAIBOT67519.2025.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344499","Long short term memory;Systematic literature review;Machine learning;Denial-of-service attack;Network security","Measurement;Computational modeling;Denial-of-service attack;NSL-KDD;Market research;Communication networks;Software defined networking;Long short term memory;Cyberattack;Systematic literature review","","","","21","IEEE","22 Jan 2026","28-31 Oct. 2025","28-31 Oct. 2025","IEEE","IEEE Conferences"
"Energy Analysis of a Broadcast MAC Protocol for IEEE 802.11bc Enhanced Broadcast Services","A. Boujnoui; J. J. C. Escoto; J. Gómez; L. Orozco-Barbosa; A. Haqiq","Department of Mathematics, MASD Group, LMPA Laboratory, Faculty of Sciences and Technology, Moulay Ismail University of Meknes, Errachidia, Morocco; Department of Computer Engineering, National Autonomous University of Mexico, Mexico; Department of Telecommunications Engineering, National Autonomous University of Mexico, Mexico; Albacete Research Institute of Informatics, Universidad de Castilla-La Mancha, Albacete, Spain; Faculty of Sciences and Techniques, Computer, Networks, Mobility and Modeling Laboratory: IR2M, Hassan First University of Settat, Settat, Morocco",2025 14th IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks (PEMWN),"29 Dec 2025","2025","","","1","6","In this paper, we conduct an energy consumption analysis of a broadcast access mechanism over IEEE 802.11 networks. By assuming non-saturated conditions, we provide a statistical model of the energy consumed during one cycle period, defined as the duration between two successful broadcast transmissions. The model includes a characterization of the medium access transmission mechanism. Our results show that the broadcast protocol is a good candidate to be included in future amendments of the IEEE 802.11 standard.","","978-3-903176-76-8","10.23919/PEMWN67312.2025.11304070","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11304070","Energy consumption;Broadcast;Unicast;DCF;Markov model","Performance evaluation;Energy consumption;Analytical models;Protocols;Unicast;Wireless networks;Media Access Control;IEEE 802.11 Standard","","","","8","","29 Dec 2025","25-27 Nov. 2025","25-27 Nov. 2025","IEEE","IEEE Conferences"
"Physical Layer Service Fairness of 200-Gbps TDM-NOMA Coherent Passive Optical Networks Within Single Timeslot","Z. Wei; J. Zhang; W. Li; C. St-Arnault; S. Bernal; M. Khalil; R. Gutiérrez-Castrejón; L. R. Chen; D. V. Plant","Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada",Journal of Lightwave Technology,"26 Sep 2024","2024","42","19","6774","6787","As coverage increases or network topology becomes more complex, the optical path loss difference between any two access points in tree-like passive optical networks (PON) is uneven, causing service fairness problems at the physical layer. The service fairness of the far-near user access in 200-Gbps coherent PON with various user cases is discussed in this work. A fairness allocation mechanism based on time division multiplexing (TDM) non-orthogonal multiple access (NOMA) in the time-power domain is proposed theoretically to provide fair transmission between the arbitrary two optical network units (ONUs) with the best and the worst performance within single timeslots. Then, a series of subsequent experiments are performed with different path loss and split ratios (SR) to prove the effectiveness and practicality of the proposed NOMA scheme, totally including 12 subcases. Any sub-experiment proves that by optimizing power allocation, the signal-to-interference noise ratio (SINR) or bit-error rate (BER) on the physical layer can be approximated to the same value. The Jain's fairness index at a fixed and flexible hard-decision forward error correction (HD-FEC) standard, and modified fairness index are used to evaluate service fairness in different cases. This TDM-NOMA scheme may address the service fairness issue in next-generation coherent PON with wide coverage.","1558-2213","","10.1109/JLT.2024.3413581","Dirección General de Asuntos del Personal Académico UNAM for PAPIIT(grant numbers:IG100724); Fonds de recherche du Québec - Nature et Technologies(grant numbers:319934,319965); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555167","200-Gbps coherent PON;dynamic power allocation;network topology;non-orthogonal multiple access;service fairness","Optical network units;Passive optical networks;Resource management;Topology;Physical layer;Bandwidth;Adaptive optics","","2","","45","IEEE","12 Jun 2024","1 Oct.1, 2024","","IEEE","IEEE Journals"
